Sequencing_ID,Transect,distance_class,distance_m,rel_abun,long,lat,est_spores_per_g,,,
104554,1,Plantation,1,0,-156.289238,20.728514,9062066.8,,,
104597,1,Plantation,1,0,-156.289238,20.728514,9062066.8,,,
104657,1,Plantation,1,0,-156.289238,20.728514,9062066.8,,,
104794,1,Plantation,1,0,-156.289238,20.728514,9062066.8,,,
104928,1,Plantation,1,0,-156.289238,20.728514,9062066.8,,,
105155,1,Plantation,1,0.673423423,-156.289238,20.728514,9062066.8,,,
104627,2,Plantation,1,0.043452425,-156.289169,20.728617,14291008,,,
104650,2,Plantation,1,0.038032862,-156.289169,20.728617,14291008,,,
104709,2,Plantation,1,0,-156.289169,20.728617,14291008,,,
104908,2,Plantation,1,0.067782356,-156.289169,20.728617,14291008,,,
104915,2,Plantation,1,0.11361672,-156.289169,20.728617,14291008,,,
104947,2,Plantation,1,0,-156.289169,20.728617,14291008,,,
105072,2,Plantation,1,0,-156.289169,20.728617,14291008,,,
104629,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
104685,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
104832,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
104861,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
104924,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
105214,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
105238,3,Plantation,1,0,-156.288398,20.729197,6618965.6,,,
104575,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
104590,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
104770,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
104853,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
104953,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
105060,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
105108,4,Plantation,1,0,-156.287818,20.73153,16384578,,,
104479,1,Invasion Front,300,0,-156.286496,20.729424,21239738,,,
104562,1,Invasion Front,300,0,-156.286496,20.729424,21239738,,,
104632,1,Invasion Front,300,0,-156.286496,20.729424,21239738,,,
104815,1,Invasion Front,300,0,-156.286496,20.729424,21239738,,,
104636,2,Invasion Front,300,0,-156.286427,20.729504,9268924.4,,,
104667,2,Invasion Front,300,0.999844769,-156.286427,20.729504,9268924.4,,,
