Sample_ID,Sample_Name,Transect,Distance,Distance_num,Control
104462,MAUI_T1_500m,1,500 m,800,Sample
104474,MAUI_T1_500m,1,500 m,800,Sample
104477,MAUI_T1_2000m,1,2000 m,2300,Sample
104479,MAUI_T1_INVFRT,1,Invasion Front,300,Sample
104484,MAUI_T1_1000m,1,1000 m,1300,Sample
104486,MAUI_T1_500m,1,500 m,800,Sample
104497,MAUI_T1_1000m,1,1000 m,1300,Sample
104503,MAUI_T1_2000m,1,2000 m,2300,Sample
104508,MAUI_T1_1000m,1,1000 m,1300,Sample
104515,MAUI_T1_2000m,1,2000 m,2300,Sample
104517,MAUI_T1_500m,1,500 m,800,Sample
104531,MAUI_T1_1000m,1,1000 m,1300,Sample
104532,MAUI_T1_INVFRT,1,Invasion Front,300,Sample
104536,MAUI_T1_100m,1,100 m,400,Sample
104554,MAUI_T1_PLNT,1,Plantation,1,Sample
104555,MAUI_T4_2000m,4,2000 m,2300,Sample
104559,MAUI_T4_2000m,4,2000 m,2300,Sample
104562,MAUI_T1_INVFRT,1,Invasion Front,300,Sample
104569,MAUI_T4_1000m,4,1000 m,1300,Sample
104570,MAUI_T1_CNTRL,1,Control,NA,Control
104575,MAUI_T4_PLNT,4,Plantation,1,Sample
104576,MAUI_T3_INVFRT,3,Invasion Front,300,Sample
104579,MAUI_T2_100m,2,100 m,400,Sample
104584,MAUI_T3_500m,3,500 m,800,Sample
104585,MAUI_T4_2000m,4,2000 m,2300,Sample
104586,MAUI_T1_100m,1,100 m,400,Sample
104589,MAUI_T2_CNTRL,2,Control,NA,Control
104590,MAUI_T4_PLNT,4,Plantation,1,Sample
104595,MAUI_T4_1000m,4,1000 m,1300,Sample
104596,MAUI_T2_CNTRL,2,Control,NA,Control
104597,MAUI_T1_PLNT,1,Plantation,1,Sample
104598,MAUI_T2_500m,2,500 m,800,Sample
104599,MAUI_T1_100m,1,100 m,400,Sample
104600,MAUI_T3_INVFRT,3,Invasion Front,300,Sample
104602,MAUI_T1_CNTRL,1,Control,NA,Control
104603,MAUI_T2_100m,2,100 m,400,Sample
104604,MAUI_T4_100m,4,100 m,400,Sample
104606,MAUI_T1_CNTRL,1,Control,NA,Control
104609,MAUI_T2_1000m,2,1000 m,1300,Sample
104610,MAUI_T1_PLNT,1,Plantation,1,Sample
104613,MAUI_T1_2000m,1,2000 m,2300,Sample
104615,MAUI_T4_2000m,4,2000 m,2300,Sample
104617,MAUI_T4_1000m,4,1000 m,1300,Sample
104618,MAUI_T4_1000m,4,1000 m,1300,Sample
104619,MAUI_T2_1000m,2,1000 m,1300,Sample
104620,MAUI_T1_100m,1,100 m,400,Sample
