Transect,Distance,Sample.Number,Shoot.Biomass,Root.Biomass,Age,Colonized,Uncolonized,Total,perc_col,Distance_num,TvC,Total.Biomass
1,100,2,0.1402,0.041,198,41,151,192,0.213541667,400,1,0.1812
1,100,3,0.2903,0.1411,207,9,178,187,0.048128342,400,1,0.4314
1,100,4,0.4413,0.1551,207,22,190,212,0.103773585,400,1,0.5964
1,100,5,0.2858,0.1021,186,25,177,202,0.123762376,400,1,0.3879
1,100,6,0.3144,0.0894,207,48,144,192,0.25,400,1,0.4038
1,100,7,0.3881,0.0622,207,58,133,191,0.303664921,400,1,0.4503
1,100,8,0.5484,0.1219,207,82,95,177,0.463276836,400,1,0.6703
1,500,2,0.5501,0.1484,198,139,52,191,0.727748691,800,1,0.6985
1,500,3,0.3971,0.1728,198,127,58,185,0.686486486,800,1,0.5699
1,500,4,0.3695,0.1771,198,30,155,185,0.162162162,800,1,0.5466
1,500,5,0.217,0.0523,198,15,171,186,0.080645161,800,1,0.2693
1,500,6,0.1555,0.0473,198,27,161,188,0.143617021,800,1,0.2028
1,500,7,0.6079,0.0873,206,75,89,164,0.457317073,800,1,0.6952
1,1000,2,0.5368,0.1722,218,168,31,199,0.844221106,1300,1,0.709
1,1000,3,0.2321,0.0922,198,66,98,164,0.402439024,1300,1,0.3243
1,1000,4,0.258,0.1179,198,74,111,185,0.4,1300,1,0.3759
1,1000,5,0.2792,0.0586,198,77,108,185,0.416216216,1300,1,0.3378
1,1000,6,0.1602,0.1,198,20,154,174,0.114942529,1300,1,0.2602
1,1000,7,0.4661,0.1601,218,98,88,186,0.52688172,1300,1,0.6262
1,1000,8,0.2642,0.0306,206,70,21,91,0.769230769,1300,1,0.2948
1,2000,2,0.6043,0.1676,219,116,68,184,0.630434783,2300,1,0.7719
1,2000,3,0.76,0.244,219,132,54,186,0.709677419,2300,1,1.004
1,2000,4,0.7528,0.2196,219,157,44,201,0.781094527,2300,1,0.9724
1,2000,5,0.4639,0.3123,199,150,37,187,0.802139037,2300,1,0.7762
1,2000,6,0.3238,0.1482,199,100,75,175,0.571428571,2300,1,0.472
1,2000,7,0.4971,0.2493,206,158,41,199,0.793969849,2300,1,0.7464
1,Invasion Front,2,0.2359,0.12,197,110,75,185,0.594594595,300,1,0.3559
1,Invasion Front,3,0.3758,0.3902,197,74,111,185,0.4,300,1,0.766
1,Invasion Front,4,0.1016,0.241,197,6,26,32,0.1875,300,1,0.3426
1,Invasion Front,5,0.3403,0.131,197,45,151,196,0.229591837,300,1,0.4713
1,Invasion Front,6,0.572,0.1526,188,116,73,189,0.613756614,300,1,0.7246
1,Invasion Front,7,0.7684,0.1427,209,123,62,185,0.664864865,300,1,0.9111
1,Invasion Front,8,0.4673,0.0874,209,33,152,185,0.178378378,300,1,0.5547
1,Plantation,2,0.392,0.3083,197,104,81,185,0.562162162,1,1,0.7003
1,Plantation,3,0.3349,0.3712,197,102,84,186,0.548387097,1,1,0.7061
1,Plantation,4,0.5326,0.2292,185,102,83,185,0.551351351,1,1,0.7618
1,Plantation,5,0.3761,0.1439,206,87,113,200,0.435,1,1,0.52
1,Plantation,6,0.4354,0.0738,209,113,78,191,0.591623037,1,1,0.5092
1,Plantation,7,0.2271,0.0507,209,70,101,171,0.409356725,1,1,0.2778
1,Plantation,8,0.5474,0.1444,209,61,124,185,0.32972973,1,1,0.6918
2,100,1,0.1776,0.131,200,34,151,185,0.183783784,400,1,0.3086
2,100,2,0.4539,0.2093,200,70,117,187,0.374331551,400,1,0.6632
2,100,3,0.3997,NA,203,43,143,186,0.231182796,400,1,NA
2,100,4,0.3525,0.2368,207,62,125,187,0.331550802,400,1,0.5893
2,100,5,0.4901,0.1284,186,106,79,185,0.572972973,400,1,0.6185
2,100,6,0.3901,0.5408,207,33,164,197,0.16751269,400,1,0.9309
2,100,7,0.4221,0.071,207,85,68,153,0.555555556,400,1,0.4931
2,100,8,0.6342,0.3516,209,79,126,205,0.385365854,400,1,0.9858
2,500,1,0.2545,0.131,200,73,57,130,0.561538462,800,1,0.3855
2,500,2,0.3946,0.1562,200,103,103,206,0.5,800,1,0.5508
2,500,3,0.2689,0.0468,200,40,61,101,0.396039604,800,1,0.3157
2,500,4,0.188,0.0391,200,37,88,125,0.296,800,1,0.2271
2,500,5,0.2697,0.0907,203,36,150,186,0.193548387,800,1,0.3604
2,500,5,0.3043,0.0773,185,48,117,165,0.290909091,800,1,0.3816
2,500,6,0.6221,0.0505,185,50,29,79,0.632911392,800,1,0.6726
2,1000,1,0.6246,0.3905,203,122,65,187,0.652406417,1300,1,1.0151
2,1000,2,0.3448,0.2069,203,103,42,145,0.710344828,1300,1,0.5517
2,1000,3,0.3363,0.5027,203,61,24,85,0.717647059,1300,1,0.839
2,1000,4,0.3951,0.1962,203,119,35,154,0.772727273,1300,1,0.5913
2,1000,5,0.3649,0.1596,203,109,25,134,0.813432836,1300,1,0.5245
2,1000,6,0.2587,0.2599,203,55,45,100,0.55,1300,1,0.5186
2,1000,7,0.7152,0.2549,203,136,74,210,0.647619048,1300,1,0.9701
2,1000,8,0.3872,0.0406,206,119,37,156,0.762820513,1300,1,0.4278
2,2000,1,NA,0.3071,210,92,104,196,0.469387755,2300,1,NA
2,2000,2,0.3352,0.2961,210,143,57,200,0.715,2300,1,0.6313
2,2000,3,0.4629,0.433,210,123,74,197,0.624365482,2300,1,0.8959
2,2000,4,0.7152,0.2959,210,113,85,198,0.570707071,2300,1,1.0111
2,2000,5,0.3602,0.1674,210,84,36,120,0.7,2300,1,0.5276
2,2000,6,0.5349,0.2784,210,112,80,192,0.583333333,2300,1,0.8133
2,2000,7,0.3835,0.1697,210,94,93,187,0.502673797,2300,1,0.5532
2,2000,8,0.4776,0.1759,206,137,103,240,0.570833333,2300,1,0.6535
2,Invasion Front,1,0.3847,0.1257,200,97,88,185,0.524324324,300,1,0.5104
2,Invasion Front,2,0.5042,0.2147,200,125,63,188,0.664893617,300,1,0.7189
2,Invasion Front,3,0.7037,0.3758,200,118,70,188,0.627659574,300,1,1.0795
2,Invasion Front,4,0.2622,0.1003,200,43,142,185,0.232432432,300,1,0.3625
2,Invasion Front,5,0.3028,0.0824,200,64,121,185,0.345945946,300,1,0.3852
2,Invasion Front,6,0.4782,0.166,200,125,72,197,0.634517766,300,1,0.6442
2,Invasion Front,7,0.1841,0.0856,209,111,67,178,0.623595506,300,1,0.2697
2,Invasion Front,8,0.7062,0.16,209,117,81,198,0.590909091,300,1,0.8662
2,Plantation,1,0.2951,0.1828,199,56,129,185,0.302702703,1,1,0.4779
2,Plantation,2,0.3625,0.3852,199,110,93,203,0.541871921,1,1,0.7477
2,Plantation,3,0.2339,0.1771,199,78,89,167,0.467065868,1,1,0.411
2,Plantation,4,0.3235,0.2032,199,96,89,185,0.518918919,1,1,0.5267
2,Plantation,5,0.3058,0.1853,199,40,147,187,0.213903743,1,1,0.4911
2,Plantation,6,0.2735,0.1363,199,96,60,156,0.615384615,1,1,0.4098
2,Plantation,7,0.3898,0.1763,199,110,79,189,0.582010582,1,1,0.5661
3,100,1,0.3182,0.1262,204,37,156,193,0.191709845,400,1,0.4444
3,100,2,0.4262,0.3102,204,27,158,185,0.145945946,400,1,0.7364
3,100,3,0.791,0.2071,204,107,79,186,0.575268817,400,1,0.9981
3,100,4,0.9719,0.4178,204,154,35,189,0.814814815,400,1,1.3897
3,100,5,0.2764,0.1,204,45,135,180,0.25,400,1,0.3764
3,100,6,0.4205,0.1485,204,104,83,187,0.556149733,400,1,0.569
3,100,7,0.368,0.1541,188,29,156,185,0.156756757,400,1,0.5221
3,100,8,0.3536,0.1025,209,2,183,185,0.010810811,400,1,0.4561
3,500,1,0.1971,0.0888,203,19,168,187,0.101604278,800,1,0.2859
3,500,2,0.2876,0.0447,203,30,25,55,0.545454545,800,1,0.3323
3,500,3,0.2698,0.3204,203,91,95,186,0.489247312,800,1,0.5902
3,500,4,0.317,0.1502,204,39,146,185,0.210810811,800,1,0.4672
3,500,5,0.4487,0.1331,204,142,50,192,0.739583333,800,1,0.5818
3,500,6,0.4167,0.3007,204,161,34,195,0.825641026,800,1,0.7174
3,500,7,0.286,0.2412,204,45,128,173,0.260115607,800,1,0.5272
3,500,8,0.5499,0.3998,204,54,134,188,0.287234043,800,1,0.9497
3,1000,1,0.4151,0.2515,224,91,100,191,0.476439791,1300,1,0.6666
3,1000,2,0.5857,0.3187,204,109,84,193,0.564766839,1300,1,0.9044
3,1000,3,0.519,0.2786,204,95,91,186,0.510752688,1300,1,0.7976
3,1000,4,0.1877,0.1784,204,88,108,196,0.448979592,1300,1,0.3661
3,1000,5,0.571,0.3078,205,92,93,185,0.497297297,1300,1,0.8788
3,1000,6,0.2285,0.2374,205,72,115,187,0.385026738,1300,1,0.4659
3,1000,7,1.0162,0.355,205,89,100,189,0.470899471,1300,1,1.3712
3,2000,1,0.3212,0.2745,205,128,63,191,0.670157068,2300,1,0.5957
3,2000,2,0.3702,0.1305,205,132,63,195,0.676923077,2300,1,0.5007
3,2000,3,0.3604,0.1856,205,85,137,222,0.382882883,2300,1,0.546
3,2000,4,0.3316,0.1665,205,141,44,185,0.762162162,2300,1,0.4981
3,2000,5,0.3366,0.194,205,126,60,186,0.677419355,2300,1,0.5306
3,2000,6,0.1318,0.0541,205,58,69,127,0.456692913,2300,1,0.1859
3,2000,7,0.3526,0.2283,205,138,42,180,0.766666667,2300,1,0.5809
3,Invasion Front,1,0.41,0.1587,203,28,170,198,0.141414141,300,1,0.5687
3,Invasion Front,2,0.4868,0.3119,186,104,112,216,0.481481481,300,1,0.7987
